name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Tre'Quan Smith,22,WR,Central Florida,91,2016*,15,28,427,5,0,0,0
Tre'Quan Smith,22,WR,Central Florida,91,2017*,15,28,427,5,5,23,1
Keke Coutee,21,WR,Texas Tech,103,2015*,6,28,287,1,0,0,0
Keke Coutee,21,WR,Texas Tech,103,2016,6,28,287,1,3,2,1
Keke Coutee,21,WR,Texas Tech,103,2017*,6,28,287,1,5,15,0
Antonio Callaway,21,WR,Florida,105,2015*,16,43,586,5,3,19,0
Antonio Callaway,21,WR,Florida,105,2016*,16,43,586,5,5,32,1
DaeSean Hamilton,23,WR,Penn St.,113,2014*,14,30,243,2,8,32,0
DaeSean Hamilton,23,WR,Penn St.,113,2015*,14,30,243,2,0,0,0
DaeSean Hamilton,23,WR,Penn St.,113,2016*,14,30,243,2,1,-12,0
DaeSean Hamilton,23,WR,Penn St.,113,2017*,14,30,243,2,1,2,0
Jaleel Scott,23,WR,New Mexico St.,132,2016,3,1,6,0,0,0,0
Jaleel Scott,23,WR,New Mexico St.,132,2017*,3,1,6,0,0,0,0
J'Mon Moore,23,WR,Missouri,133,2014*,12,2,15,0,0,0,0
J'Mon Moore,23,WR,Missouri,133,2015,12,2,15,0,0,0,0
J'Mon Moore,23,WR,Missouri,133,2016,12,2,15,0,0,0,1
J'Mon Moore,23,WR,Missouri,133,2017*,12,2,15,0,0,0,0
Jordan Lasley,21,WR,UCLA,162,2015*,9,3,17,0,0,0,0
Jordan Lasley,21,WR,UCLA,162,2016,11,41,620,5,0,0,0
Jordan Lasley,21,WR,UCLA,162,2017*,9,69,1264,9,4,-6,0
Marquez Valdes-Scantling,23,WR,South Florida,174,2013,16,38,581,2,0,0,0
Marquez Valdes-Scantling,23,WR,South Florida,174,2014*,16,38,581,2,0,0,0
Marquez Valdes-Scantling,23,WR,South Florida,174,2016*,16,38,581,2,2,4,0
Marquez Valdes-Scantling,23,WR,South Florida,174,2017*,16,38,581,2,8,108,1
Damion Ratley,23,WR,Texas A&M,175,2015*,13,13,144,0,0,0,0
Damion Ratley,23,WR,Texas A&M,175,2016*,13,13,144,0,0,0,0
Damion Ratley,23,WR,Texas A&M,175,2017*,13,13,144,0,0,0,0
