name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Joshua Dobbs,22,QB,Tennessee,135,2015,5,205,344,344.0,2291,15,4.4,5,1.5,127.0,146,671,11.0,50.0,43.0,0.0,1.0,11.0,0.0
Joshua Dobbs,22,QB,Tennessee,135,2016,5,225,357,357.0,2946,27,7.6,12,3.4,150.6,150,831,12.0,50.0,43.0,0.0,1.0,11.0,0.0
Nathan Peterman,23,QB,Pittsburgh,171,2013,4,10,23,23.0,45,0,0.0,2,8.7,42.5,6,-6,0.0,49.0,252.0,2.0,5.0,23.0,0.0
Nathan Peterman,23,QB,Pittsburgh,171,2014,4,10,20,20.0,49,0,0.0,0,0.0,70.6,9,13,1.0,49.0,252.0,2.0,5.0,23.0,0.0
Nathan Peterman,23,QB,Pittsburgh,171,2015,4,193,314,314.0,2287,20,6.4,8,2.5,138.6,85,232,1.0,49.0,252.0,2.0,5.0,23.0,0.0
Nathan Peterman,23,QB,Pittsburgh,171,2016,4,185,306,306.0,2855,27,8.8,7,2.3,163.4,72,286,3.0,49.0,252.0,2.0,5.0,23.0,0.0
Brad Kaaya,22,QB,Miami (FL),215,2014,13,221,378,378.0,3198,26,6.9,12,3.2,145.9,27,-131,1.0,,,,,,
Brad Kaaya,22,QB,Miami (FL),215,2015,12,239,390,390.0,3242,16,4.1,5,1.3,142.1,30,-119,2.0,,,,,,
Brad Kaaya,22,QB,Miami (FL),215,2016,13,261,421,421.0,3532,27,6.4,7,1.7,150.3,37,-136,1.0,,,,,,
Chad Kelly,23,QB,Mississippi,253,2013,5,10,17,17.0,58,0,0.0,0,0.0,87.5,16,117,1.0,,,,,,
Chad Kelly,23,QB,Mississippi,253,2015,13,298,458,458.0,4042,31,6.8,13,2.8,155.9,107,500,10.0,,,,,,
Chad Kelly,23,QB,Mississippi,253,2016,9,205,328,328.0,2758,19,5.8,8,2.4,147.4,81,332,5.0,,,,,,
Baker Mayfield,23,QB,Oklahoma,1,2013,14,218,340,340.0,2315,12,3.5,9,2.6,127.7,88,190,3.0,63.8,3725.0,27.0,14.0,131.0,0.0
Baker Mayfield,23,QB,Oklahoma,1,2015,14,269,395,395.0,3700,36,9.1,7,1.8,173.3,141,405,7.0,63.8,3725.0,27.0,14.0,131.0,0.0
Baker Mayfield,23,QB,Oklahoma,1,2016,14,254,358,358.0,3965,40,11.2,8,2.2,196.4,78,177,6.0,63.8,3725.0,27.0,14.0,131.0,0.0
Baker Mayfield,23,QB,Oklahoma,1,2017,14,285,404,404.0,4627,43,10.6,6,1.5,198.9,97,311,5.0,63.8,3725.0,27.0,14.0,131.0,0.0
