name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Aaron Jones,22,RB,Texas-El Paso,182,2016,12,229,1773,17,9,22,0,448.0,4.0
Elijah McGuire,23,RB,Louisiana,188,2013*,16,103,863,8,17,177,1,315.0,1.0
Elijah McGuire,23,RB,Louisiana,188,2014*,16,166,1264,14,17,177,1,315.0,1.0
Elijah McGuire,23,RB,Louisiana,188,2015,16,210,1058,13,17,177,1,315.0,1.0
Elijah McGuire,23,RB,Louisiana,188,2016*,16,232,1127,7,17,177,1,315.0,1.0
Brandon Wilson,23,RB,Houston,207,2013*,4,0,0,0,0,0,0,,
Brandon Wilson,23,RB,Houston,207,2014*,13,0,0,0,0,0,0,,
Brandon Wilson,23,RB,Houston,207,2015*,14,37,188,2,6,49,0,,
Brandon Wilson,23,RB,Houston,207,2016*,10,4,6,0,5,52,0,,
Devante Mays,23,RB,Utah St.,238,2015*,8,165,966,9,3,0,0,1.0,0.0
Devante Mays,23,RB,Utah St.,238,2016,8,37,259,3,3,0,0,1.0,0.0
Khalfani Muhammad,22,RB,California,241,2013,11,74,445,4,14,187,1,,
Khalfani Muhammad,22,RB,California,241,2014,11,46,215,4,7,63,0,,
Khalfani Muhammad,22,RB,California,241,2015*,12,87,586,1,17,189,2,,
Khalfani Muhammad,22,RB,California,241,2016,11,152,827,2,17,132,0,,
Elijah Hood,21,RB,North Carolina,242,2014*,9,67,259,4,2,-2,0,,
Elijah Hood,21,RB,North Carolina,242,2015*,14,219,1463,17,13,71,0,,
Elijah Hood,21,RB,North Carolina,242,2016*,11,145,858,8,25,142,0,,
Chris Carson,22,RB,Oklahoma St.,249,2015*,4,131,517,4,7,59,1,208.0,0.0
Chris Carson,22,RB,Oklahoma St.,249,2016*,4,82,559,9,7,59,1,208.0,0.0
Matthew Dayes,23,RB,North Carolina St.,252,2013,16,63,252,4,4,29,0,13.0,0.0
Matthew Dayes,23,RB,North Carolina St.,252,2014*,16,104,573,8,4,29,0,13.0,0.0
Matthew Dayes,23,RB,North Carolina St.,252,2015*,16,134,865,12,4,29,0,13.0,0.0
Matthew Dayes,23,RB,North Carolina St.,252,2016*,16,249,1166,10,4,29,0,13.0,0.0
Saquon Barkley,21,RB,Penn St.,2,2015*,16,182,1076,7,91,721,4,1307.0,11.0
Saquon Barkley,21,RB,Penn St.,2,2016*,16,272,1496,18,91,721,4,1307.0,11.0
Saquon Barkley,21,RB,Penn St.,2,2017*,16,217,1271,18,91,721,4,1307.0,11.0
Rashaad Penny,22,RB,San Diego St.,27,2014*,14,2,22,0,9,75,0,419.0,2.0
Rashaad Penny,22,RB,San Diego St.,27,2015*,14,61,368,4,9,75,0,419.0,2.0
Rashaad Penny,22,RB,San Diego St.,27,2016*,14,136,1018,11,9,75,0,419.0,2.0
Rashaad Penny,22,RB,San Diego St.,27,2017*,14,289,2248,23,9,75,0,419.0,2.0
Sony Michel,23,RB,Georgia,31,2014*,13,64,410,5,7,50,0,931.0,6.0
Sony Michel,23,RB,Georgia,31,2015*,13,219,1161,8,7,50,0,931.0,6.0
Sony Michel,23,RB,Georgia,31,2016*,13,152,840,4,7,50,0,931.0,6.0
Sony Michel,23,RB,Georgia,31,2017*,13,156,1227,16,7,50,0,931.0,6.0
Nick Chubb,22,RB,Georgia,35,2014*,16,219,1547,14,20,149,2,996.0,8.0
Nick Chubb,22,RB,Georgia,35,2015*,16,92,747,7,20,149,2,996.0,8.0
Nick Chubb,22,RB,Georgia,35,2016*,16,224,1130,8,20,149,2,996.0,8.0
Nick Chubb,22,RB,Georgia,35,2017*,16,223,1345,15,20,149,2,996.0,8.0
Ronald Jones II,21,RB,USC,38,2015*,9,153,987,8,7,33,0,44.0,1.0
Ronald Jones II,21,RB,USC,38,2016*,9,177,1082,12,7,33,0,44.0,1.0
Ronald Jones II,21,RB,USC,38,2017*,9,261,1550,19,7,33,0,44.0,1.0
Kerryon Johnson,21,RB,Auburn,43,2015*,10,52,208,3,32,213,1,641.0,3.0
Kerryon Johnson,21,RB,Auburn,43,2016*,10,182,895,11,32,213,1,641.0,3.0
Kerryon Johnson,21,RB,Auburn,43,2017*,10,285,1391,18,32,213,1,641.0,3.0
Derrius Guice,21,RB,LSU,59,2015*,5,51,436,3,7,79,1,245.0,2.0
Derrius Guice,21,RB,LSU,59,2016*,5,183,1387,15,7,79,1,245.0,2.0
Derrius Guice,21,RB,LSU,59,2017*,5,237,1251,11,7,79,1,245.0,2.0
Royce Freeman,22,RB,Oregon,71,2014*,14,252,1365,18,14,72,0,521.0,5.0
Royce Freeman,22,RB,Oregon,71,2015*,14,283,1836,17,14,72,0,521.0,5.0
Royce Freeman,22,RB,Oregon,71,2016,14,168,945,9,14,72,0,521.0,5.0
Royce Freeman,22,RB,Oregon,71,2017*,14,244,1475,16,14,72,0,521.0,5.0
Nyheim Hines,21,RB,North Carolina St.,104,2015*,16,48,243,1,63,425,2,314.0,2.0
Nyheim Hines,21,RB,North Carolina St.,104,2016*,16,13,44,0,63,425,2,314.0,2.0
Nyheim Hines,21,RB,North Carolina St.,104,2017*,16,197,1112,12,63,425,2,314.0,2.0
Mark Walton,21,RB,Miami (FL),112,2015*,14,129,450,9,5,41,0,34.0,0.0
Mark Walton,21,RB,Miami (FL),112,2016*,14,209,1117,14,5,41,0,34.0,0.0
Mark Walton,21,RB,Miami (FL),112,2017*,14,56,428,3,5,41,0,34.0,0.0
Ito Smith,22,RB,Southern Miss,126,2014,14,136,536,2,27,152,0,315.0,4.0
Ito Smith,22,RB,Southern Miss,126,2015*,14,171,1128,10,27,152,0,315.0,4.0
Ito Smith,22,RB,Southern Miss,126,2016*,14,265,1459,17,27,152,0,315.0,4.0
Ito Smith,22,RB,Southern Miss,126,2017*,14,248,1413,13,27,152,0,315.0,4.0
Kalen Ballage,22,RB,Arizona St.,131,2014*,12,42,126,3,9,56,0,191.0,1.0
Kalen Ballage,22,RB,Arizona St.,131,2015*,12,125,653,4,9,56,0,191.0,1.0
Kalen Ballage,22,RB,Arizona St.,131,2016,12,126,536,14,9,56,0,191.0,1.0
Kalen Ballage,22,RB,Arizona St.,131,2017*,12,157,669,6,9,56,0,191.0,1.0
Jordan Wilkins,24,RB,Mississippi,169,2014*,16,52,361,1,16,85,0,336.0,1.0
Jordan Wilkins,24,RB,Mississippi,169,2015*,16,72,379,4,16,85,0,336.0,1.0
Jordan Wilkins,24,RB,Mississippi,169,2017,16,155,1011,9,16,85,0,336.0,1.0
John Kelly,21,RB,Tennessee,176,2015*,4,40,165,1,2,27,0,74.0,0.0
John Kelly,21,RB,Tennessee,176,2016*,4,98,630,5,2,27,0,74.0,0.0
John Kelly,21,RB,Tennessee,176,2017,4,189,778,9,2,27,0,74.0,0.0
Boston Scott,23,RB,Louisiana Tech,201,2013,2,0,0,0,0,0,0,0.0,0.0
Boston Scott,23,RB,Louisiana Tech,201,2014*,2,1,3,0,0,0,0,0.0,0.0
Boston Scott,23,RB,Louisiana Tech,201,2015*,2,34,275,0,0,0,0,0.0,0.0
Boston Scott,23,RB,Louisiana Tech,201,2016*,2,70,515,6,0,0,0,0.0,0.0
Boston Scott,23,RB,Louisiana Tech,201,2017*,2,182,1040,8,0,0,0,0.0,0.0
David Williams,24,RB,Arkansas,226,2014*,6,45,256,2,0,0,0,36.0,0.0
David Williams,24,RB,Arkansas,226,2015,6,86,299,0,0,0,0,36.0,0.0
David Williams,24,RB,Arkansas,226,2016*,6,56,239,3,0,0,0,36.0,0.0
David Williams,24,RB,Arkansas,226,2017,6,117,656,8,0,0,0,36.0,0.0
Bo Scarbrough,23,RB,Alabama,236,2015*,6,18,104,1,1,5,0,377.0,1.0
Bo Scarbrough,23,RB,Alabama,236,2016*,6,125,812,11,1,5,0,377.0,1.0
Bo Scarbrough,23,RB,Alabama,236,2017*,6,124,596,8,1,5,0,377.0,1.0
Nick Bawden,22,RB,San Diego St.,237,2014*,6,11,43,0,0,0,0,,
Nick Bawden,22,RB,San Diego St.,237,2015*,9,0,0,0,0,0,0,,
Nick Bawden,22,RB,San Diego St.,237,2016*,13,1,4,0,15,137,0,,
