name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Da'Ron Brown,23,WR,Northern Illinois,233.0,2014*,14.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/northern-illinois/2014.html
Da'Ron Brown,23,WR,,,,,,,,,,,
Dezmin Lewis,22,WR,Central Arkansas,234.0,2011*,14.0,24.0,322.0,2.0,1.0,3.0,0.0,/cfb/schools/northern-illinois/2011.html
Dezmin Lewis,22,WR,Central Arkansas,234.0,2012*,14.0,17.0,156.0,2.0,4.0,4.0,1.0,/cfb/schools/northern-illinois/2012.html
Dezmin Lewis,22,WR,Central Arkansas,234.0,2013*,12.0,46.0,752.0,9.0,7.0,45.0,0.0,/cfb/schools/northern-illinois/2013.html
Dezmin Lewis,22,WR,Central Arkansas,234.0,2014*,14.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/northern-illinois/2014.html
Dezmin Lewis,22,WR,,,,,,,,,,,
Mario Alford,23,WR,West Virginia,238.0,2013,9.0,27.0,552.0,2.0,5.0,47.0,0.0,/cfb/schools/west-virginia/2013.html
Mario Alford,23,WR,West Virginia,238.0,2014*,13.0,65.0,945.0,11.0,2.0,14.0,0.0,/cfb/schools/west-virginia/2014.html
Mario Alford,23,WR,,,,1.0,1.0,15.0,0.0,,,,
Tre McBride,22,WR,William & Mary,245.0,2013,9.0,27.0,552.0,2.0,5.0,47.0,0.0,/cfb/schools/west-virginia/2013.html
Tre McBride,22,WR,William & Mary,245.0,2014*,13.0,65.0,945.0,11.0,2.0,14.0,0.0,/cfb/schools/west-virginia/2014.html
Tre McBride,22,WR,,,,7.0,2.0,8.0,1.0,,,,
Corey Coleman,22,WR,Baylor,15.0,2013*,12.0,35.0,527.0,2.0,0.0,0.0,0.0,/cfb/schools/baylor/2013.html
Corey Coleman,22,WR,Baylor,15.0,2014*,10.0,64.0,1119.0,11.0,11.0,53.0,1.0,/cfb/schools/baylor/2014.html
Corey Coleman,22,WR,Baylor,15.0,2015*,12.0,74.0,1363.0,20.0,22.0,111.0,0.0,/cfb/schools/baylor/2015.html
Corey Coleman,22,WR,,,,10.0,33.0,413.0,3.0,,,,
Will Fuller,22,WR,Notre Dame,21.0,2013*,6.0,6.0,160.0,1.0,2.0,8.0,0.0,/cfb/schools/notre-dame/2013.html
Will Fuller,22,WR,Notre Dame,21.0,2014*,13.0,76.0,1094.0,15.0,0.0,0.0,0.0,/cfb/schools/notre-dame/2014.html
Will Fuller,22,WR,Notre Dame,21.0,2015*,13.0,62.0,1258.0,14.0,0.0,0.0,0.0,/cfb/schools/notre-dame/2015.html
Will Fuller,22,WR,,,,14.0,47.0,635.0,2.0,,,,
Josh Doctson,23,WR,TCU,22.0,2011*,12.0,35.0,393.0,5.0,0.0,0.0,0.0,/cfb/schools/wyoming/2011.html
Josh Doctson,23,WR,TCU,22.0,2013,10.0,36.0,440.0,4.0,0.0,0.0,0.0,/cfb/schools/texas-christian/2013.html
Josh Doctson,23,WR,TCU,22.0,2014*,13.0,65.0,1018.0,11.0,0.0,0.0,0.0,/cfb/schools/texas-christian/2014.html
Josh Doctson,23,WR,TCU,22.0,2015*,11.0,79.0,1327.0,14.0,1.0,6.0,0.0,/cfb/schools/texas-christian/2015.html
Josh Doctson,23,WR,,,,2.0,2.0,66.0,0.0,,,,
Laquon Treadwell,21,WR,Mississippi,23.0,2013*,13.0,72.0,608.0,5.0,3.0,2.0,0.0,/cfb/schools/mississippi/2013.html
Laquon Treadwell,21,WR,Mississippi,23.0,2014*,9.0,48.0,632.0,5.0,2.0,-7.0,0.0,/cfb/schools/mississippi/2014.html
Laquon Treadwell,21,WR,Mississippi,23.0,2015*,13.0,82.0,1153.0,11.0,1.0,-5.0,0.0,/cfb/schools/mississippi/2015.html
Laquon Treadwell,21,WR,,,,9.0,1.0,15.0,0.0,,,,
Sterling Shepard,23,WR,Oklahoma,40.0,2012*,13.0,45.0,621.0,3.0,2.0,19.0,0.0,/cfb/schools/oklahoma/2012.html
Sterling Shepard,23,WR,Oklahoma,40.0,2013*,12.0,51.0,603.0,7.0,6.0,44.0,1.0,/cfb/schools/oklahoma/2013.html
Sterling Shepard,23,WR,Oklahoma,40.0,2014*,12.0,51.0,970.0,5.0,8.0,41.0,0.0,/cfb/schools/oklahoma/2014.html
Sterling Shepard,23,WR,Oklahoma,40.0,2015*,13.0,86.0,1288.0,11.0,1.0,5.0,0.0,/cfb/schools/oklahoma/2015.html
Sterling Shepard,23,WR,,,,16.0,65.0,683.0,8.0,,,,
Michael Thomas,23,WR,Ohio St.,47.0,2012,11.0,3.0,22.0,0.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2012.html
Michael Thomas,23,WR,Ohio St.,47.0,2014*,15.0,54.0,799.0,9.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2014.html
Michael Thomas,23,WR,Ohio St.,47.0,2015*,13.0,56.0,781.0,9.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2015.html
Michael Thomas,23,WR,,,,15.0,92.0,1137.0,9.0,,,,
Tyler Boyd,21,WR,Pittsburgh,55.0,2013*,13.0,85.0,1174.0,7.0,11.0,108.0,1.0,/cfb/schools/pittsburgh/2013.html
Tyler Boyd,21,WR,Pittsburgh,55.0,2014*,13.0,78.0,1261.0,8.0,12.0,63.0,0.0,/cfb/schools/pittsburgh/2014.html
Tyler Boyd,21,WR,Pittsburgh,55.0,2015*,12.0,91.0,926.0,6.0,40.0,349.0,0.0,/cfb/schools/pittsburgh/2015.html
Tyler Boyd,21,WR,,,,16.0,54.0,603.0,1.0,,,,
Braxton Miller,23,WR,,,,10.0,15.0,99.0,1.0,,,,
Leonte Carroo,22,WR,Rutgers,86.0,2012*,11.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/rutgers/2012.html
Leonte Carroo,22,WR,Rutgers,86.0,2013*,9.0,28.0,478.0,9.0,0.0,0.0,0.0,/cfb/schools/rutgers/2013.html
