name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Justin Blackmon,WR,Oklahoma St.,5.0,2011.0,13.0,122.0,1522.0,18.0,4.0,7.0,0.0,/cfb/schools/oklahoma-state/2011.html,12.475409836065571,117.07692307692308,1.3846153846153846,9.384615384615383,32.9,387.2,3.1,-31.42307692307692,0.134615384615385,-0.2820512820512821,1.6666666666666667,9.25,148.5,22,WR,16.0,64.0,865.0,5.0
Michael Floyd,WR,Notre Dame,13.0,2011.0,13.0,100.0,1147.0,9.0,2.0,13.0,1.0,/cfb/schools/notre-dame/2011.html,11.47,88.23076923076923,0.6923076923076923,7.6923076923076925,23.2,252.6,1.6,2.814102564102555,1.1089743589743597,-0.3076923076923077,1.0,6.583333333333333,85.41666666666667,22,WR,16.0,45.0,562.0,2.0
Kendall Wright,WR,Baylor,20.0,2011.0,13.0,108.0,1663.0,14.0,10.0,72.0,0.0,/cfb/schools/baylor/2011.html,15.398148148148149,127.92307692307692,1.0769230769230769,8.307692307692308,23.6,351.5,3.1,54.69230769230769,2.3076923076923084,0.5384615384615384,0.5384615384615384,6.0,73.23076923076923,22,WR,15.0,64.0,626.0,4.0
A.J. Jenkins,WR,Illinois,30.0,2011.0,13.0,90.0,1276.0,8.0,5.0,26.0,0.0,/cfb/schools/illinois/2011.html,14.177777777777775,98.15384615384616,0.6153846153846154,6.923076923076923,17.4,184.0,1.1,40.76923076923077,2.615384615384616,0.0769230769230769,0.5384615384615384,4.307692307692308,57.38461538461539,22,WR,3.0,0.0,0.0,0.0
Stephen Hill,WR,Georgia Tech,43.0,2011.0,13.0,28.0,820.0,5.0,4.0,29.0,0.0,/cfb/schools/georgia-tech/2011.html,29.285714285714285,63.07692307692308,0.3846153846153846,2.1538461538461537,6.3,142.3,0.8,38.82692307692308,0.9038461538461536,0.1346153846153846,0.25,1.25,24.25,21,WR,11.0,21.0,252.0,3.0
Alshon Jeffery,WR,South Carolina,45.0,2011.0,13.0,49.0,762.0,8.0,0.0,0.0,0.0,/cfb/schools/south-carolina/2011.html,15.551020408163266,58.61538461538461,0.6153846153846154,3.769230769230769,14.7,181.5,1.5,-49.74175824175825,-2.5164835164835164,-0.0274725274725274,0.6428571428571429,6.285714285714286,108.35714285714286,22,WR,10.0,24.0,367.0,3.0
Ryan Broyles,WR,Oklahoma,54.0,2011.0,9.0,83.0,1157.0,10.0,1.0,3.0,0.0,/cfb/schools/oklahoma/2011.html,13.939759036144578,128.55555555555554,1.1111111111111112,9.22222222222222,28.1,349.4,2.2,12.698412698412682,-0.1349206349206362,0.1111111111111111,1.0,9.357142857142858,115.85714285714286,24,WR,10.0,22.0,310.0,2.0
Rueben Randle,WR,LSU,63.0,2011.0,14.0,53.0,917.0,8.0,0.0,0.0,0.0,/cfb/schools/louisiana-state/2011.html,17.30188679245283,65.5,0.5714285714285714,3.7857142857142856,12.4,152.5,1.5,23.653846153846157,1.2472527472527473,0.3406593406593406,0.2307692307692307,2.5384615384615383,41.84615384615385,21,WR,16.0,19.0,298.0,3.0
DeVier Posey,WR,Ohio St.,68.0,2011.0,4.0,12.0,162.0,2.0,1.0,-6.0,0.0,/cfb/schools/ohio-state/2011.html,13.5,40.5,0.5,3.0,9.6,127.0,1.4,-24.730769230769223,-1.0769230769230766,-0.0384615384615384,0.5384615384615384,4.076923076923077,65.23076923076923,22,WR,11.0,6.0,87.0,0.0
T.J. Graham,WR,North Carolina St.,69.0,2011.0,13.0,46.0,757.0,7.0,2.0,-5.0,0.0,/cfb/schools/north-carolina-state/2011.html,16.456521739130434,58.23076923076923,0.5384615384615384,3.5384615384615383,22.4,240.0,2.5,33.92307692307693,1.6153846153846152,0.2307692307692307,0.3076923076923077,1.9230769230769231,24.307692307692307,23,WR,15.0,31.0,322.0,1.0
Mohamed Sanu,WR,Rutgers,83.0,2011.0,13.0,115.0,1206.0,7.0,4.0,-2.0,0.0,/cfb/schools/rutgers/2011.html,10.486956521739131,92.76923076923076,0.5384615384615384,8.846153846153847,19.7,241.2,1.6,57.93589743589744,5.179487179487181,0.3717948717948718,0.1666666666666666,3.6666666666666665,34.833333333333336,23,WR,9.0,16.0,154.0,4.0
