name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG
Braxton Berrios,Miami (FL),210.0,2017.0,55.0,679.0,9.0,0.0,0.0,0.0,52.23076923076923,0.6923076923076923,4.230769230769231,38.53846153846154,3.3076923076923075,0.5384615384615384,0.1538461538461538,0.9230769230769232,13.692307692307692,22,16.0,6.0,115.0,0.0,0.2153846153846154,0.017446471054718478,0.34615384615384615,7.1875,0.0,0.375
Javon Wims,Georgia,224.0,2017.0,45.0,720.0,7.0,0.0,0.0,0.0,48.0,0.4666666666666667,3.0,32.166666666666664,1.5833333333333333,0.3833333333333333,0.0833333333333333,1.4166666666666667,15.833333333333334,23,4.0,4.0,32.0,0.0,0.2713397399660825,0.016958733747880157,0.29166666666666663,8.0,0.0,1.0
Marcell Ateman,Oklahoma St.,228.0,2017.0,59.0,1156.0,8.0,0.0,0.0,0.0,88.92307692307692,0.6153846153846154,4.538461538461538,30.0,1.0769230769230766,0.2307692307692307,0.3846153846153846,3.4615384615384617,58.92307692307692,23,7.0,15.0,154.0,1.0,0.22847655941181122,0.011661000869633963,0.2197802197802198,22.0,0.14285714285714285,2.142857142857143
Richie James,Middle Tenn. St.,240.0,2017.0,31.0,290.0,3.0,10.0,57.0,0.0,58.0,0.6,6.2,-67.0,-1.8769230769230765,-0.3230769230769231,0.9230769230769232,8.076923076923077,125.0,23,13.0,9.0,130.0,1.0,0.2309836718438869,0.02469135802469136,0.3333333333333333,10.0,0.07692307692307693,0.6923076923076923
Auden Tate,Florida St.,253.0,2017.0,40.0,548.0,10.0,0.0,0.0,0.0,45.66666666666666,0.8333333333333334,3.333333333333333,11.583333333333329,1.25,0.3333333333333333,0.5,2.083333333333333,34.083333333333336,21,7.0,4.0,35.0,0.0,0.23275569147128777,0.016989466530750934,0.5208333333333334,5.0,0.0,0.5714285714285714
Trey Quinn,SMU,256.0,2017.0,114.0,1236.0,13.0,1.0,0.0,0.0,95.07692307692308,1.0,8.76923076923077,88.16025641025641,8.352564102564104,1.0,0.0,0.4166666666666667,6.916666666666667,22,3.0,9.0,75.0,1.0,0.3232809353176575,0.029817173645803365,0.37037037037037035,25.0,0.3333333333333333,3.0
Marquise Brown,Oklahoma,25.0,2018.0,75.0,1318.0,10.0,2.0,0.0,0.0,94.14285714285714,0.7142857142857143,5.357142857142857,9.912087912087912,0.9725274725274716,0.1758241758241758,0.5384615384615384,4.384615384615385,84.23076923076923,22,14.0,46.0,584.0,7.0,0.29155421846657525,0.016590718046277042,0.2304147465437788,41.714285714285715,0.5,3.2857142857142856
N'Keal Harry,Arizona St.,32.0,2018.0,73.0,1088.0,9.0,7.0,10.0,1.0,90.66666666666669,0.75,6.083333333333333,2.820512820512832,-0.2243589743589744,0.1346153846153845,0.6153846153846154,6.307692307692308,87.84615384615384,21,7.0,12.0,105.0,2.0,0.3896289929809484,0.02614238647758201,0.5,15.0,0.2857142857142857,1.7142857142857142
Deebo Samuel,South Carolina,36.0,2018.0,62.0,882.0,11.0,8.0,26.0,0.0,73.5,0.9166666666666666,5.166666666666667,-9.833333333333329,0.1666666666666669,-0.0833333333333333,1.0,5.0,83.33333333333333,23,15.0,57.0,802.0,3.0,0.2694281524926686,0.01893939393939394,0.36666666666666664,53.46666666666667,0.2,3.8
A.J. Brown,Mississippi,51.0,2018.0,85.0,1320.0,6.0,0.0,0.0,0.0,110.0,0.5,7.083333333333333,5.666666666666671,0.833333333333333,-0.4166666666666666,0.9166666666666666,6.25,104.33333333333331,22,16.0,52.0,1051.0,8.0,0.31755196304849886,0.02044842186297152,0.2777777777777778,65.6875,0.5,3.25
Mecole Hardman,Georgia,56.0,2018.0,34.0,532.0,7.0,5.0,36.0,0.0,38.0,0.5,2.4285714285714284,10.133333333333333,0.7619047619047616,0.2333333333333333,0.2666666666666666,1.6666666666666667,27.866666666666667,21,16.0,26.0,538.0,6.0,0.16747465843984133,0.010703267644651513,0.20833333333333334,33.625,0.375,1.625
