name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Ryan Whalen,22,WR,Stanford,167,2009*,13,57,926,4,0,0,0,/cfb/schools/stanford/2009.html
Ryan Whalen,22,WR,Stanford,167,2010*,11,41,439,2,0,0,0,/cfb/schools/stanford/2010.html
Dwayne Harris,23,WR,East Carolina,176,2007*,13,26,246,2,20,197,1,/cfb/schools/east-carolina/2007.html
Dwayne Harris,23,WR,East Carolina,176,2008*,10,58,654,1,19,76,0,/cfb/schools/east-carolina/2008.html
Dwayne Harris,23,WR,East Carolina,176,2009*,14,83,978,7,31,149,5,/cfb/schools/east-carolina/2009.html
Dwayne Harris,23,WR,East Carolina,176,2010*,13,101,1123,10,16,104,0,/cfb/schools/east-carolina/2010.html
Aldrick Robinson,22,WR,SMU,178,2007,9,10,166,0,0,0,0,/cfb/schools/southern-methodist/2007.html
Aldrick Robinson,22,WR,SMU,178,2008,10,59,1047,11,0,0,0,/cfb/schools/southern-methodist/2008.html
Aldrick Robinson,22,WR,SMU,178,2009*,13,47,800,5,0,0,0,/cfb/schools/southern-methodist/2009.html
Aldrick Robinson,22,WR,SMU,178,2010*,14,65,1301,14,0,0,0,/cfb/schools/southern-methodist/2010.html
Ronald Johnson,23,WR,USC,182,2007*,13,7,110,1,4,27,0,/cfb/schools/southern-california/2007.html
Ronald Johnson,23,WR,USC,182,2008*,13,33,570,8,6,32,0,/cfb/schools/southern-california/2008.html
Ronald Johnson,23,WR,USC,182,2009*,8,34,378,3,1,4,0,/cfb/schools/southern-california/2009.html
Ronald Johnson,23,WR,USC,182,2010,13,64,692,8,5,25,0,/cfb/schools/southern-california/2010.html
Scotty McKnight,23,WR,Colorado,227,2007*,13,47,555,4,0,0,0,/cfb/schools/colorado/2007.html
Scotty McKnight,23,WR,Colorado,227,2008,12,46,519,5,2,2,0,/cfb/schools/colorado/2008.html
Scotty McKnight,23,WR,Colorado,227,2009,12,76,893,6,0,2,1,/cfb/schools/colorado/2009.html
Scotty McKnight,23,WR,Colorado,227,2010,12,50,621,7,0,0,0,/cfb/schools/colorado/2010.html
David Ausberry,23,WR,USC,241,2007*,13,26,240,2,0,0,0,/cfb/schools/southern-california/2007.html
David Ausberry,23,WR,USC,241,2008*,13,6,85,1,0,0,0,/cfb/schools/southern-california/2008.html
David Ausberry,23,WR,USC,241,2009*,7,12,123,0,0,0,0,/cfb/schools/southern-california/2009.html
David Ausberry,23,WR,USC,241,2010,13,20,252,4,2,14,0,/cfb/schools/southern-california/2010.html
DeMarco Sampson,25,WR,San Diego St.,249,2005,12,6,60,1,0,0,0,/cfb/schools/san-diego-state/2005.html
DeMarco Sampson,25,WR,San Diego St.,249,2008,11,11,111,1,0,0,0,/cfb/schools/san-diego-state/2008.html
DeMarco Sampson,25,WR,San Diego St.,249,2009,12,62,851,8,4,-2,0,/cfb/schools/san-diego-state/2009.html
DeMarco Sampson,25,WR,San Diego St.,249,2010*,13,67,1220,8,4,11,0,/cfb/schools/san-diego-state/2010.html
Justin Blackmon,22,WR,Oklahoma St.,5,2009*,13,20,260,2,0,0,0,/cfb/schools/oklahoma-state/2009.html
Justin Blackmon,22,WR,Oklahoma St.,5,2010*,12,111,1782,20,4,77,1,/cfb/schools/oklahoma-state/2010.html
Justin Blackmon,22,WR,Oklahoma St.,5,2011*,13,122,1522,18,4,7,0,/cfb/schools/oklahoma-state/2011.html
Michael Floyd,22,WR,Notre Dame,13,2008*,11,48,719,7,0,0,0,/cfb/schools/notre-dame/2008.html
Michael Floyd,22,WR,Notre Dame,13,2009,7,44,795,9,1,8,0,/cfb/schools/notre-dame/2009.html
Michael Floyd,22,WR,Notre Dame,13,2010*,12,79,1025,12,1,9,0,/cfb/schools/notre-dame/2010.html
Michael Floyd,22,WR,Notre Dame,13,2011*,13,100,1147,9,2,13,1,/cfb/schools/notre-dame/2011.html
Kendall Wright,22,WR,Baylor,20,2008,12,50,649,5,29,168,1,/cfb/schools/baylor/2008.html
Kendall Wright,22,WR,Baylor,20,2009,12,66,740,4,28,132,1,/cfb/schools/baylor/2009.html
Kendall Wright,22,WR,Baylor,20,2010*,13,78,952,7,8,53,0,/cfb/schools/baylor/2010.html
Kendall Wright,22,WR,Baylor,20,2011*,13,108,1663,14,10,72,0,/cfb/schools/baylor/2011.html
A.J. Jenkins,22,WR,Illinois,30,2008,12,11,287,3,0,0,0,/cfb/schools/illinois/2008.html
A.J. Jenkins,22,WR,Illinois,30,2009,8,10,123,1,1,-1,0,/cfb/schools/illinois/2009.html
A.J. Jenkins,22,WR,Illinois,30,2010*,13,56,746,7,0,0,0,/cfb/schools/illinois/2010.html
A.J. Jenkins,22,WR,Illinois,30,2011*,13,90,1276,8,5,26,0,/cfb/schools/illinois/2011.html
Stephen Hill,21,WR,Georgia Tech,43,2009*,13,6,137,1,5,84,1,/cfb/schools/georgia-tech/2009.html
Stephen Hill,21,WR,Georgia Tech,43,2010*,12,15,291,3,3,34,0,/cfb/schools/georgia-tech/2010.html
Stephen Hill,21,WR,Georgia Tech,43,2011*,13,28,820,5,4,29,0,/cfb/schools/georgia-tech/2011.html
Alshon Jeffery,22,WR,South Carolina,45,2009*,13,46,763,6,0,0,0,/cfb/schools/south-carolina/2009.html
Alshon Jeffery,22,WR,South Carolina,45,2010*,14,88,1517,9,0,0,0,/cfb/schools/south-carolina/2010.html
Alshon Jeffery,22,WR,South Carolina,45,2011*,13,49,762,8,0,0,0,/cfb/schools/south-carolina/2011.html
Ryan Broyles,24,WR,Oklahoma,54,2008*,13,46,687,6,3,11,0,/cfb/schools/oklahoma/2008.html
