name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Greg Salas,23,WR,Hawaii,112.0,2007*,7.0,3.0,35.0,1.0,0.0,0.0,0.0,/cfb/schools/hawaii/2007.html
Greg Salas,23,WR,Hawaii,112.0,2008*,14.0,57.0,831.0,3.0,0.0,0.0,0.0,/cfb/schools/hawaii/2008.html
Greg Salas,23,WR,Hawaii,112.0,2009,13.0,106.0,1590.0,8.0,0.0,0.0,0.0,/cfb/schools/hawaii/2009.html
Greg Salas,23,WR,Hawaii,112.0,2010*,14.0,119.0,1889.0,14.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html
Greg Salas,23,WR,,,,6.0,27.0,264.0,0.0,,,,
Cecil Shorts,23,WR,Mount Union,114.0,2007*,7.0,3.0,35.0,1.0,0.0,0.0,0.0,/cfb/schools/hawaii/2007.html
Cecil Shorts,23,WR,Mount Union,114.0,2008*,14.0,57.0,831.0,3.0,0.0,0.0,0.0,/cfb/schools/hawaii/2008.html
Cecil Shorts,23,WR,Mount Union,114.0,2009,13.0,106.0,1590.0,8.0,0.0,0.0,0.0,/cfb/schools/hawaii/2009.html
Cecil Shorts,23,WR,Mount Union,114.0,2010*,14.0,119.0,1889.0,14.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html
Cecil Shorts,23,WR,,,,10.0,2.0,30.0,1.0,,,,
Tandon Doss,21,WR,Indiana,123.0,2008,8.0,14.0,186.0,1.0,0.0,0.0,0.0,/cfb/schools/indiana/2008.html
Tandon Doss,21,WR,Indiana,123.0,2009,12.0,77.0,962.0,5.0,14.0,127.0,1.0,/cfb/schools/indiana/2009.html
Tandon Doss,21,WR,Indiana,123.0,2010,11.0,63.0,706.0,7.0,28.0,163.0,1.0,/cfb/schools/indiana/2010.html
Tandon Doss,21,WR,,,,6.0,0.0,0.0,0.0,,,,
Kealoha Pilares,23,WR,Hawaii,132.0,2007*,11.0,26.0,249.0,1.0,68.0,388.0,3.0,/cfb/schools/hawaii/2007.html
Kealoha Pilares,23,WR,Hawaii,132.0,2008*,10.0,29.0,246.0,2.0,56.0,300.0,5.0,/cfb/schools/hawaii/2008.html
Kealoha Pilares,23,WR,Hawaii,132.0,2009,13.0,66.0,690.0,4.0,1.0,13.0,0.0,/cfb/schools/hawaii/2009.html
Kealoha Pilares,23,WR,Hawaii,132.0,2010*,13.0,88.0,1306.0,15.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html
Kealoha Pilares,23,WR,,,,8.0,2.0,42.0,1.0,,,,
Denarius Moore,22,WR,Tennessee,148.0,2007*,14.0,14.0,212.0,0.0,0.0,0.0,0.0,/cfb/schools/tennessee/2007.html
Denarius Moore,22,WR,Tennessee,148.0,2008,12.0,11.0,271.0,2.0,0.0,0.0,0.0,/cfb/schools/tennessee/2008.html
Denarius Moore,22,WR,Tennessee,148.0,2009*,13.0,40.0,540.0,7.0,3.0,23.0,0.0,/cfb/schools/tennessee/2009.html
