player_name,position,college_receiving_yards
David Wells Jr.,WR,79
Ezeriah Anderson,WR,79
Jace Wilson,WR,79
Dakota Twitty,WR,78
Emanuel Ross,WR,78
Jay Fair,WR,78
J.J. Sparkman,WR,78
Kyre Duplessis,WR,78
Tre Roberson,WR,78
Anthony Brown,WR,77
Chase Curtis,WR,77
Jordan Brown,WR,77
Malik Elzy,WR,77
Walker Merrill,WR,77
Cooper Hoch,WR,76
Nik McMillan,WR,76
Braedan Wisloski,WR,75
Jalen Brown,WR,75
Stephan Bracey,WR,75
Andre Greene Jr.,WR,74
Drae McCray,WR,74
Joshua Thompson,WR,74
Ray Ray Joseph,WR,74
Samario Rudolph,WR,74
Stephon Daily,WR,74
Braylin Presley,WR,73
Bryce Childress,WR,73
Jaydon Johnson,WR,73
Leland Smith,WR,72
PJ Wells,WR,72
Brock Spalding,WR,71
C'Quan Jnopierre,WR,71
Darion Williamson,WR,71
Javon Ivory,WR,71
Nate Burleson II,WR,71
Andison Coby,WR,70
Kendrick Bell,WR,70
C.J. Smith,WR,69
Colby Bowman,WR,69
Marcus Burke,WR,69
Ty Robinson,WR,69
Xavier Townsend,WR,69
Zion Ragins,WR,68
Cameron Bates,WR,67
Michael Hetzel,WR,67
Navelle Dean,WR,67
Tiger Bachmeier,WR,67
Caleb Odom,WR,65
Creed Whittemore,WR,65
Drew Donley,WR,65
Ethan Davies,WR,65
Jonathan Bibbs,WR,65
Jordyn Williams,WR,65
Joseph McVay,WR,65
Nathan Acevedo,WR,65
Miles Burris,WR,64
Duane Thomas Jr.,WR,63
Kaevion Mack,WR,63
Ty Bowman,WR,63
CJ Brown,WR,62
Dayton Howard,WR,62
Devin Boddie Jr.,WR,62
Dylan Williams,WR,62
Ja'Varrius Johnson,WR,62
Marshaun Brown,WR,62
Camden Brown,WR,61
Cody Howard,WR,60
Corey Thompson Jr.,WR,60
Rico Scott,WR,60
Tyler Stewart,WR,60
Zy'marion Lang,WR,60
Chance Morrow,WR,59
Troy Omeire,WR,59
Jalil Farooq,WR,58
Jonah Wilson,WR,58
Dylan Goffney,WR,57
George Dimopoulus,WR,57
Ashton Nickelberry,WR,56
Demick Starling,WR,56
Kyle Parker,WR,55
Moose Muhammad III,WR,55
DeAndre Buchannon,WR,54
Kody Epps,WR,54
Kris Hughes,WR,54
"Leon Washington, Jr.",WR,54
Ric'Darious Farmer,WR,54
Jarrad Baker,WR,53
Jontavis Robertson,WR,53
Isaiah Alston,WR,52
Jordyn Bailey,WR,52
Kelby Williams,WR,52
Lawayne McCoy,WR,52
Desna Washington,WR,51
Bugs Mortimer,WR,50
Jay Rockwell,WR,50
Jordan King,WR,50
Mycah Pittman,WR,50
Antonio Gates Jr.,WR,49
Caleb Burton,WR,49
E.J. Williams,WR,49
Ayo Shotomide-King,WR,48
Donovan Faupel,WR,48
Kaleb Webb,WR,48
Jamarion McDougle,WR,47
Bryson Rodgers,WR,46
Dalen Cambre,WR,46
Tim Grear Jr.,WR,46
Branden Ganashamoorthy,WR,45
Carter Shaw,WR,45
Gavin Freeman,WR,45
Ashton Bethel-Roman,WR,44
Gavin Blackwell,WR,43
Marquis Shoulders,WR,43
Qua Sanders,WR,43
Antonio Meeks,WR,42
Chedon James,WR,41
Chris Elko,WR,41
Deion Colzie,WR,41
Joseph Young,WR,41
Lavon Brown,WR,41
Ashton Hollins,WR,40
Dino Tomlin,WR,40
Ayden Williams,WR,39
Camron Heard,WR,39
Andrew Sowinski,WR,38
Cole Weaver,WR,38
Darius Copeland,WR,38
Jayshon Platt,WR,38
KK Smith,WR,38
La'Don Bryant,WR,38
Reymello Murphy,WR,38
Roman Mothershead,WR,38
Sacovie White,WR,38
Xavier Irvin,WR,38
Cole Speer,WR,37
Eian Pugh,WR,37
JB Mitchell III,WR,37
Jeremiah Ballard,WR,37
Jojo Earle,WR,37
Donovan Ollie,WR,36
Eriq Rice,WR,35
Keith Reynolds,WR,35
Mekhi Miller,WR,35
Amorion Walker,WR,34
Ben Ford,WR,34
Jordan Smart,WR,34
Nitro Tuggle,WR,34
Noreel White,WR,34
Stanley King,WR,34
TJ Abrams,WR,34
