name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Tarik Cohen,22,RB,North Carolina A&T,119.0,2015*,14.0,0.0,0.0,0.0,30.0,745.0,8.0,,
Tarik Cohen,22,RB,North Carolina A&T,119.0,2016*,7.0,0.0,0.0,0.0,16.0,309.0,4.0,,
Tarik Cohen,22,RB,,,,16.0,,,,53.0,353.0,1.0,370.0,2.0
Joe Williams,24,RB,Utah,121.0,2015*,10.0,104.0,477.0,3.0,11.0,84.0,0.0,,
Joe Williams,24,RB,Utah,121.0,2016*,9.0,210.0,1407.0,10.0,9.0,107.0,0.0,,
Joe Williams,24,RB,,,,,,,,,,,,
Donnel Pumphrey,22,RB,San Diego St.,132.0,2013*,13.0,125.0,752.0,8.0,22.0,234.0,2.0,,
Donnel Pumphrey,22,RB,San Diego St.,132.0,2014*,13.0,276.0,1867.0,20.0,23.0,160.0,0.0,,
Donnel Pumphrey,22,RB,San Diego St.,132.0,2015*,14.0,309.0,1653.0,17.0,28.0,416.0,3.0,,
Donnel Pumphrey,22,RB,San Diego St.,132.0,2016*,14.0,349.0,2133.0,17.0,27.0,231.0,0.0,,
Donnel Pumphrey,22,RB,,,,,,,,,,,,
Jamaal Williams,22,RB,BYU,134.0,2012*,13.0,166.0,775.0,12.0,27.0,315.0,1.0,,
Jamaal Williams,22,RB,BYU,134.0,2013*,12.0,217.0,1233.0,7.0,18.0,125.0,0.0,,
Jamaal Williams,22,RB,BYU,134.0,2014*,8.0,109.0,518.0,4.0,8.0,47.0,0.0,,
Jamaal Williams,22,RB,BYU,134.0,2016*,10.0,234.0,1375.0,12.0,7.0,80.0,0.0,,
Jamaal Williams,22,RB,,,,16.0,,,,25.0,262.0,2.0,556.0,4.0
Wayne Gallman,22,RB,Clemson,140.0,2014*,13.0,161.0,769.0,4.0,24.0,108.0,1.0,,
Wayne Gallman,22,RB,Clemson,140.0,2015*,14.0,283.0,1527.0,13.0,21.0,213.0,1.0,,
Wayne Gallman,22,RB,Clemson,140.0,2016*,15.0,232.0,1133.0,17.0,20.0,152.0,0.0,,
Wayne Gallman,22,RB,,,,13.0,,,,34.0,193.0,1.0,476.0,0.0
Marlon Mack,21,RB,South Florida,143.0,2014,12.0,202.0,1041.0,9.0,21.0,160.0,0.0,,
Marlon Mack,21,RB,South Florida,143.0,2015*,12.0,210.0,1381.0,8.0,16.0,111.0,1.0,,
Marlon Mack,21,RB,South Florida,143.0,2016*,12.0,174.0,1187.0,15.0,28.0,227.0,0.0,,
Marlon Mack,21,RB,,,,14.0,,,,21.0,225.0,1.0,358.0,3.0
Brian Hill,21,RB,Wyoming,156.0,2014,12.0,145.0,796.0,7.0,13.0,204.0,0.0,,
Brian Hill,21,RB,Wyoming,156.0,2015,12.0,281.0,1631.0,6.0,20.0,132.0,0.0,,
Brian Hill,21,RB,Wyoming,156.0,2016*,14.0,349.0,1860.0,22.0,8.0,67.0,0.0,,
Brian Hill,21,RB,,,,7.0,,,,2.0,36.0,0.0,37.0,0.0
Jeremy McNichols,21,RB,Boise St.,162.0,2014*,9.0,17.0,159.0,1.0,15.0,155.0,1.0,,
Jeremy McNichols,21,RB,Boise St.,162.0,2015*,12.0,240.0,1337.0,20.0,51.0,460.0,6.0,,
Jeremy McNichols,21,RB,Boise St.,162.0,2016*,13.0,314.0,1709.0,23.0,37.0,474.0,4.0,,
Jeremy McNichols,21,RB,,,,2.0,,,,0.0,0.0,0.0,0.0,0.0
T.J. Logan,23,RB,North Carolina,179.0,2013*,9.0,93.0,533.0,4.0,10.0,124.0,0.0,,
T.J. Logan,23,RB,North Carolina,179.0,2014*,13.0,119.0,582.0,3.0,26.0,144.0,0.0,,
T.J. Logan,23,RB,North Carolina,179.0,2015*,14.0,66.0,400.0,5.0,11.0,151.0,1.0,,
T.J. Logan,23,RB,North Carolina,179.0,2016*,13.0,120.0,650.0,7.0,29.0,244.0,3.0,,
T.J. Logan,23,RB,,,,,,,,,,,,
Aaron Jones,22,RB,Texas-El Paso,182.0,2013,9.0,155.0,811.0,4.0,4.0,14.0,0.0,,
Aaron Jones,22,RB,Texas-El Paso,182.0,2014*,12.0,242.0,1321.0,11.0,30.0,293.0,3.0,,
Aaron Jones,22,RB,Texas-El Paso,182.0,2015,2.0,32.0,209.0,1.0,9.0,106.0,1.0,,
Aaron Jones,22,RB,Texas-El Paso,182.0,2016,12.0,229.0,1773.0,17.0,28.0,233.0,3.0,,
Aaron Jones,22,RB,,,,12.0,,,,9.0,22.0,0.0,448.0,4.0
Elijah McGuire,23,RB,Louisiana,188.0,2013*,13.0,103.0,863.0,8.0,22.0,384.0,3.0,,
Elijah McGuire,23,RB,Louisiana,188.0,2014*,13.0,166.0,1264.0,14.0,45.0,468.0,2.0,,
Elijah McGuire,23,RB,Louisiana,188.0,2015,12.0,210.0,1058.0,13.0,33.0,293.0,3.0,,
Elijah McGuire,23,RB,Louisiana,188.0,2016*,13.0,232.0,1127.0,7.0,29.0,238.0,2.0,,
Elijah McGuire,23,RB,,,,16.0,,,,17.0,177.0,1.0,315.0,1.0
De'Angelo Henderson,24,RB,Coastal Carolina,203.0,2014*,13.0,7.0,20.0,0.0,45.0,526.0,7.0,,
